code,domain,domain_title,family,family_title,title,framework_citations,description,word_count,REVIEWED_BY,EDITED_DESCRIPTION
CRY-02.1,CRY,Cryptography & Key Management,CRY-02,Key Management,"Key generation, storage and custody",SOC2 CC6.1 ; ISO27001 A.8.24,"Cryptographic keys are generated using an approved method, stored in a dedicated key management service or hardware module, and access to key material is restricted to authorised custodians and logged.",30,,
VUL-02.1,VUL,Vulnerability & Patch Management,VUL-02,Patch Management,Patch deployment cadence,SOC2 CC7.1 ; ISO27001 A.8.8,"Security patches are deployed to systems and applications within timeframes defined by severity, with deployment coverage measured and unpatched systems identified and escalated.",23,,
LOG-02.1,LOG,Logging & Monitoring,LOG-02,Monitoring & Detection,Security monitoring and alerting,SOC2 CC7.2 ; ISO27001 A.8.16,"Security events are monitored against defined detection rules that generate alerts for suspicious activity, with rule coverage reviewed as the threat landscape and environment change.",25,,
PRI-02.1,PRI,Privacy & Data Protection,PRI-02,Data Principal Rights,Right of access fulfilment,SOC2 P5.1 ; DPDPA S.11,Requests from data principals for access to a summary of their personal data and its processing are fulfilled within the required timeframe through a defined and evidenced process.,28,,
TPR-02.1,TPR,Third-Party Risk Management,TPR-02,Vendor Contracts,Security clauses in agreements,SOC2 CC9.2 ; ISO27001 A.5.20,"Agreements with vendors include security requirements covering confidentiality, incident notification, subcontracting, audit rights and return or deletion of data at termination.",21,,
PHY-02.1,PHY,Physical & Environmental Security,PHY-02,Environmental Controls,"Power, cooling and fire suppression",ISO27001 A.7.11,"Supporting utilities and environmental protections including power continuity, cooling and fire detection and suppression are provided appropriate to the facility, and maintained and tested.",24,,
IRP-02.1,IRP,Incident Response,IRP-02,Breach Notification,Regulatory breach notification,SOC2 CC7.4 ; ISO27001 A.5.26 ; DPDPA S.8(6),"Regulatory breach notification obligations are documented with their applicable timeframes and recipients, and the process for assessing notifiability and issuing notice is defined and rehearsed.",25,,
BCP-02.1,BCP,"Continuity, Backup & Resilience",BCP-02,Continuity & Recovery,Business continuity plan,SOC2 A1.2 ; ISO27001 A.5.29,"A business continuity plan identifies critical business processes, their dependencies and the arrangements for continuing or recovering them, and names the individuals responsible for invoking it.",26,,
AST-02.1,AST,Asset & Information Management,AST-02,Data Classification & Handling,Data classification scheme,SOC2 C1.1 ; ISO27001 A.5.12,"A data classification scheme defines the classification levels in use, the criteria for assigning each, and the minimum handling requirements that apply at each level.",25,,
GOV-02.1,GOV,"Governance, Risk & Compliance",GOV-02,Risk Management,Risk assessment methodology,SOC2 CC3.2,"A documented risk assessment methodology defines how risks are identified, how likelihood and impact are scored, the criteria for accepting risk, and how often assessments are performed.",27,,
HRS-02.1,HRS,Human Resources Security,HRS-02,During Employment,Security awareness training,SOC2 CC1.4 ; SOC2 CC2.2 ; ISO27001 A.6.3,"All personnel complete security awareness training on joining and at a defined recurring interval, with content covering the organisation's policies and current threats, and completion tracked to full coverage.",29,,
PHY-02.2,PHY,Physical & Environmental Security,PHY-02,Environmental Controls,Clear desk and clear screen,ISO27001 A.7.7,"A clear desk and clear screen requirement is defined and communicated, requiring sensitive material to be secured when unattended and screens to lock when the user is away.",28,,
PRI-02.2,PRI,Privacy & Data Protection,PRI-02,Data Principal Rights,Correction and erasure requests,SOC2 P5.2 ; DPDPA S.12,"Requests for correction, completion, updating or erasure of personal data are actioned within the required timeframe, including onward communication to recipients where applicable.",23,,
TPR-02.2,TPR,Third-Party Risk Management,TPR-02,Vendor Contracts,Data processing agreements,ISO27001 A.5.20 ; DPDPA S.8(2),"Where a vendor processes personal data, a data processing agreement is executed defining the permitted purposes, security obligations, subprocessor rules and assistance with data principal rights.",26,,
GOV-02.2,GOV,"Governance, Risk & Compliance",GOV-02,Risk Management,Risk register and treatment plan,SOC2 CC3.2 ; ISO27001 A.5.8,"Identified risks are recorded in a maintained register with an owner, current score, selected treatment and target date, and treatment progress is tracked to closure.",25,,
CRY-02.2,CRY,Cryptography & Key Management,CRY-02,Key Management,Key rotation and revocation,ISO27001 A.8.24,"Keys are rotated at a defined interval and on compromise or custodian departure, and revoked keys are retired from use, with rotation and revocation events recorded.",26,,
VUL-02.2,VUL,Vulnerability & Patch Management,VUL-02,Patch Management,Patch exception handling,,"Where a patch cannot be applied within the defined timeframe, the exception is documented with a compensating control, approved by an authorised owner, given an expiry date and reviewed.",29,,
LOG-02.2,LOG,Logging & Monitoring,LOG-02,Monitoring & Detection,Alert triage and escalation,SOC2 CC7.3,"Alerts are triaged within a defined timeframe according to severity, escalated through a documented path, and their disposition recorded so that unactioned alerts are visible.",25,,
CHG-02.2,CHG,Change & Configuration Management,CHG-02,Configuration Management,Configuration drift detection,SOC2 CC7.1 ; ISO27001 A.8.9,"Deviation from approved configuration baselines is detected through automated comparison at a defined frequency, with drift investigated and either remediated or formally accepted.",23,,
NET-02.2,NET,Network Security,NET-02,Remote & Wireless Access,Wireless network security,ISO27001 A.8.21,"Wireless networks use current authentication and encryption standards, guest access is segregated from the corporate network, and access credentials are managed and rotated.",23,,
IAM-02.2,IAM,Identity & Access Management,IAM-02,Authentication,MFA — workforce accounts,SOC2 CC6.1 ; ISO27001 A.8.5,"Multi-factor authentication is enforced for workforce access to systems holding or providing access to organisational data, with coverage monitored and exceptions formally approved and time-limited.",25,,
AST-02.2,AST,Asset & Information Management,AST-02,Data Classification & Handling,Labelling and handling procedures,ISO27001 A.5.13,"Procedures define how information at each classification level is labelled, stored, transmitted, shared and disposed of, covering both electronic and physical form, and are communicated to personnel.",27,,
HRS-02.2,HRS,Human Resources Security,HRS-02,During Employment,Acceptable use acknowledgement,SOC2 CC1.1 ; ISO27001 A.5.10,"Personnel formally acknowledge the acceptable use policy for organisational systems, data and devices on joining and at a defined recurring interval, and acknowledgement records are retained.",26,,
BCP-02.2,BCP,"Continuity, Backup & Resilience",BCP-02,Continuity & Recovery,Disaster recovery exercise,SOC2 A1.3 ; ISO27001 A.5.30,"Disaster recovery arrangements are exercised at a defined interval against a realistic scenario, with the outcome measured against the stated recovery objectives and shortfalls remediated.",25,,
APP-02.2,APP,Secure Development,APP-02,Application Security Testing,Dependency and SCA scanning,ISO27001 A.8.29,"Third-party and open-source dependencies are scanned for known vulnerabilities and licence issues on a defined cadence, with vulnerable components upgraded or mitigated within the remediation SLA.",26,,
IRP-02.2,IRP,Incident Response,IRP-02,Breach Notification,Customer and data principal notice,DPDPA S.8(6),"Affected customers and data principals are notified of a breach affecting their data within the applicable timeframe, using defined content covering the nature of the breach and the steps they should take.",32,,
GOV-02.3,GOV,"Governance, Risk & Compliance",GOV-02,Risk Management,Risk acceptance and exceptions,SOC2 CC3.4,"Risks accepted rather than treated, and exceptions to security requirements, are formally approved by an authorised owner, given an expiry date, and reviewed before that date.",26,,
LOG-02.3,LOG,Logging & Monitoring,LOG-02,Monitoring & Detection,Time synchronisation,ISO27001 A.8.17,System clocks across in-scope systems are synchronised to an authoritative time source so that log timestamps can be correlated reliably during investigation.,22,,
CRY-02.3,CRY,Cryptography & Key Management,CRY-02,Key Management,Certificate lifecycle management,,"Digital certificates are inventoried with their expiry dates, renewed before expiry through a defined process, and revoked when superseded or compromised, with expiry monitored and alerted.",26,,
APP-02.3,APP,Secure Development,APP-02,Application Security Testing,Penetration testing,SOC2 CC4.1 ; ISO27001 A.8.8,"Penetration testing of in-scope applications and infrastructure is performed by a suitably independent and competent tester at a defined interval and after significant change, with findings tracked to closure.",29,,
PRI-02.3,PRI,Privacy & Data Protection,PRI-02,Data Principal Rights,Grievance redressal mechanism,DPDPA S.13 ; DPDPA S.8(9),"A grievance redressal mechanism is published and readily available to data principals, with responses provided within the required timeframe and complaints logged and tracked to resolution.",26,,
BCP-02.3,BCP,"Continuity, Backup & Resilience",BCP-02,Continuity & Recovery,RTO / RPO definition and testing,ISO27001 A.5.30,"Recovery time and recovery point objectives are defined for each critical system based on business impact, agreed with the business, and validated through testing rather than assumed.",27,,
HRS-02.3,HRS,Human Resources Security,HRS-02,During Employment,Disciplinary process,ISO27001 A.6.4,"A documented disciplinary process defines the consequences of information security policy violations, is communicated to personnel, and is applied consistently following a substantiated breach.",24,,
AST-02.3,AST,Asset & Information Management,AST-02,Data Classification & Handling,Removable media controls,ISO27001 A.7.10,"Use of removable media is governed by a documented rule set covering authorisation, encryption, permitted data classifications and secure disposal, with unauthorised use technically prevented where feasible.",27,,
IAM-02.3,IAM,Identity & Access Management,IAM-02,Authentication,MFA — privileged / administrative,SOC2 CC6.1 ; ISO27001 A.8.5 ; ISO27001 A.8.2 ; DPDPA S.8(5),"Multi-factor authentication is enforced for all privileged and administrative access without exception, and enforcement is verified rather than assumed.",19,,
GOV-02.4,GOV,"Governance, Risk & Compliance",GOV-02,Risk Management,Risk treatment plan and Statement of Applicability,ISO27001 6.1.3,"A risk treatment plan records the controls selected to address assessed risks, and a Statement of Applicability records which controls apply, the justification for inclusion or exclusion, and their implementation status.",31,,
IAM-02.4,IAM,Identity & Access Management,IAM-02,Authentication,MFA — remote and VPN access,SOC2 CC6.6 ; ISO27001 A.6.7,"Multi-factor authentication is enforced for remote and VPN access to the internal environment, including access from unmanaged networks and third-party connections.",21,,
BCP-02.4,BCP,"Continuity, Backup & Resilience",BCP-02,Continuity & Recovery,Capacity and availability management,SOC2 A1.1 ; ISO27001 A.8.6,"Resource capacity is monitored against demand and projected growth, with thresholds that trigger action before availability is affected, and availability measured against any committed levels.",25,,
PRI-02.4,PRI,Privacy & Data Protection,PRI-02,Data Principal Rights,Nomination facility,DPDPA S.14,"Data principals are able to nominate another individual to exercise their rights in the event of death or incapacity, and the nomination is recorded and honoured.",26,,
IAM-02.5,IAM,Identity & Access Management,IAM-02,Authentication,Session timeout and lockout,,"Sessions terminate or lock after a defined period of inactivity, and accounts lock after a defined number of consecutive failed authentication attempts, with both thresholds technically enforced.",27,,
TPR-03.1,TPR,Third-Party Risk Management,TPR-03,Ongoing Oversight,Periodic vendor reassessment,SOC2 CC9.2 ; ISO27001 A.5.22,"Vendors are reassessed at an interval determined by their risk tier and on significant change, with evidence such as current attestation reports reviewed and findings tracked.",26,,
PRI-03.1,PRI,Privacy & Data Protection,PRI-03,Privacy Governance,Data Protection Officer appointment,DPDPA S.10(2)(a),"A Data Protection Officer or equivalent responsible person is appointed where required, their contact details are published to data principals, and they report to the organisation's governing body.",28,,
APP-03.1,APP,Secure Development,APP-03,Environment Separation,Dev / test / production separation,SOC2 CC8.1 ; ISO27001 A.8.31,"Development, test and production environments are logically or physically separated, with distinct credentials and access rights, and promotion between environments follows the change process.",24,,
HRS-03.1,HRS,Human Resources Security,HRS-03,Termination,Post-termination responsibilities,ISO27001 A.6.5,"Information security responsibilities that remain in force after employment ends, including confidentiality obligations, are defined, communicated to the individual and enforced after departure.",23,,
NET-03.1,NET,Network Security,NET-03,Data Movement,Data loss prevention,SOC2 CC6.7 ; ISO27001 A.8.12,"Controls detect and restrict unauthorised transfer of classified or personal data out of the environment, covering the egress channels in scope, with alerts triaged and exceptions approved.",27,,
IAM-03.1,IAM,Identity & Access Management,IAM-03,Authorisation,Least privilege / RBAC design,SOC2 CC6.3 ; ISO27001 A.8.3 ; ISO27001 A.5.15 ; DPDPA S.8(5),"Access rights are designed on the principle of least privilege, granting only the entitlements a role requires, with role definitions documented and reviewed when responsibilities change.",26,,
GOV-03.1,GOV,"Governance, Risk & Compliance",GOV-03,Compliance Obligations,Legal and regulatory register,ISO27001 A.5.31,"Applicable legal, regulatory, contractual and statutory obligations relating to information security and privacy are identified, recorded in a register with a named owner, and reviewed for change.",27,,
AST-03.1,AST,Asset & Information Management,AST-03,Retention & Disposal,Data retention schedule,SOC2 C1.2 ; DPDPA S.8(7),"A retention schedule defines how long each category of information is kept, the legal or business basis for that period, and the disposal action taken when the period expires.",29,,
GOV-03.2,GOV,"Governance, Risk & Compliance",GOV-03,Compliance Obligations,Independent security review,SOC2 CC4.1 ; ISO27001 A.5.35,"Security controls are reviewed by a party independent of those who operate them, at a planned interval or after significant change, and findings are tracked to resolution.",27,,
AST-03.2,AST,Asset & Information Management,AST-03,Retention & Disposal,Secure deletion of information,ISO27001 A.8.10 ; DPDPA S.8(7),"Information that has reached the end of its retention period or is no longer required is deleted using a method that prevents recovery, and the deletion is recorded.",28,,
APP-03.2,APP,Secure Development,APP-03,Environment Separation,Production data in non-prod controls,ISO27001 A.8.33,"Use of production data in non-production environments is prohibited or permitted only after masking, anonymisation or equivalent protection, with any exception formally approved and time-limited.",25,,
TPR-03.2,TPR,Third-Party Risk Management,TPR-03,Ongoing Oversight,Subprocessor and cloud service review,ISO27001 A.5.23,"Subprocessors and cloud services used by vendors are identified, their use approved, and changes to the subprocessor chain notified and assessed before taking effect.",24,,
